Invoice_Text,Category
Exempt Supply Bill Rs 265026,Exempt Supply
Cash Sale Bill Rs 278124,B2C
GST Liability Payment Rs 330579,GST Payment
Sales Return Credit Note Rs 449130,Credit Note
GST Liability Payment Rs 30601,GST Payment
GST Challan Payment Rs 434926,GST Payment
Sales Return Credit Note Rs 45743,Credit Note
RCM Professional Fees Rs 39607,Reverse Charge
Corporate Invoice for Tata Steel Rs 222120,B2B
GST Liability Payment Rs 146889,GST Payment
GST Invoice to Infosys Rs 352315,B2B
Monthly GST Deposit Rs 10004,GST Payment
Vendor Debit Note Rs 347807,Debit Note
Export Invoice to Japan Rs 239657,Export
Retail Sale Invoice Rs 356832,B2C
Customer Purchase Bill Rs 297384,B2C
Import Purchase Bill Germany Rs 68009,Import
Tax Invoice issued to HCL Rs 2998,B2B
Reverse Charge GST Service Rs 477124,Reverse Charge
Medical Service Exempt Invoice Rs 343203,Exempt Supply
Import Material Invoice Germany Rs 316092,Import
RCM Professional Fees Rs 355000,Reverse Charge
Medical Service Exempt Invoice Rs 248034,Exempt Supply
Debit Note For Short Supply Rs 435003,Debit Note
Exempt Supply Bill Rs 97670,Exempt Supply
Corporate Invoice for Deloitte Rs 497142,B2B
Vendor Debit Note Rs 307307,Debit Note
Credit Adjustment Note Rs 454891,Credit Note
Overseas Supplier Invoice Singapore Rs 429134,Import
GST Invoice to Oracle Rs 346235,B2B
Overseas Supplier Invoice Germany Rs 375014,Import
Credit Note Against Invoice Rs 427589,Credit Note
Export Supply Invoice USA Rs 290660,Export
Customer Credit Note Rs 427595,Credit Note
Debit Note For Short Supply Rs 131246,Debit Note
International Sale to USA Rs 23680,Export
Reverse Charge GST Service Rs 231972,Reverse Charge
GST Liability Payment Rs 9713,GST Payment
Purchase Adjustment Debit Note Rs 109312,Debit Note
Cash Sale Bill Rs 397757,B2C
Corporate Invoice for Wipro Rs 217050,B2B
Healthcare Service Invoice Rs 227829,Exempt Supply
Retail Sale Invoice Rs 413408,B2C
