Transaction_Text,Actual,Predicted
Building lease payment Rs 269082,Rent Expense,Rent Expense
Savings account interest Rs 282453,Interest Income,Interest Income
Software license renewal Rs 144627,Software Expense,Software Expense
Cheque book charges Rs 110209,Bank Charges,Bank Charges
Product sale Rs 390883,Sales Revenue,Sales Revenue
Microsoft 365 subscription Rs 263941,Software Expense,Software Expense
Software license renewal Rs 248057,Software Expense,Software Expense
Purchase invoice received Rs 163251,Purchase Expense,Purchase Expense
Service income received Rs 468423,Sales Revenue,Sales Revenue
Loan EMI payment Rs 281696,Loan Liability,Loan Liability
Shop rent paid Rs 335361,Rent Expense,Rent Expense
Business loan payment Rs 55098,Loan Liability,Loan Liability
Investment interest Rs 431972,Interest Income,Interest Income
GST monthly payment Rs 51075,GST Payable,GST Payable
Marketing campaign expense Rs 465986,Marketing Expense,Marketing Expense
Health insurance premium Rs 453479,Insurance Expense,Insurance Expense
Wages paid to workers Rs 369206,Salary Expense,Salary Expense
Google Workspace subscription Rs 325976,Software Expense,Software Expense
Payroll payment Rs 347393,Salary Expense,Salary Expense
Monthly office rent Rs 493978,Rent Expense,Rent Expense
Utility charges Rs 351973,Utilities Expense,Utilities Expense
Promotional expense Rs 18951,Marketing Expense,Marketing Expense
Payroll payment Rs 344685,Salary Expense,Salary Expense
TDS challan Rs 137250,TDS Payable,TDS Payable
GST tax paid Rs 285794,GST Payable,GST Payable
Hotel accommodation Rs 19096,Travel Expense,Travel Expense
Salary paid to employee Rs 99345,Salary Expense,Salary Expense
GST payment challan Rs 346377,GST Payable,GST Payable
GST liability payment Rs 167740,GST Payable,GST Payable
Insurance expense Rs 307453,Insurance Expense,Insurance Expense
Product sale Rs 177638,Sales Revenue,Sales Revenue
Service income received Rs 390321,Sales Revenue,Sales Revenue
Monthly TDS payment Rs 205752,TDS Payable,TDS Payable
Office supplies purchase Rs 262864,Purchase Expense,Purchase Expense
Savings account interest Rs 274044,Interest Income,Interest Income
Inventory purchase Rs 41836,Purchase Expense,Purchase Expense
Bank service charges Rs 259882,Bank Charges,Bank Charges
Purchase invoice received Rs 150215,Purchase Expense,Purchase Expense
Product sale Rs 164041,Sales Revenue,Sales Revenue
Warehouse rent Rs 25680,Rent Expense,Rent Expense
Utility charges Rs 381848,Utilities Expense,Utilities Expense
Advertisement charges Rs 133954,Marketing Expense,Marketing Expense
TDS deposited Rs 276370,TDS Payable,TDS Payable
Raw material purchase Rs 324065,Purchase Expense,Purchase Expense
TDS challan Rs 448973,TDS Payable,TDS Payable
Security guard salary Rs 38734,Salary Expense,Salary Expense
Microsoft 365 subscription Rs 416631,Software Expense,Software Expense
Savings account interest Rs 278370,Interest Income,Interest Income
Hotel accommodation Rs 339540,Travel Expense,Travel Expense
Promotional expense Rs 452193,Marketing Expense,Marketing Expense
Facebook advertisement Rs 102199,Marketing Expense,Marketing Expense
TDS deposited Rs 130740,TDS Payable,TDS Payable
Marketing campaign expense Rs 154920,Marketing Expense,Marketing Expense
Monthly staff salary Rs 138802,Salary Expense,Salary Expense
Shop rent paid Rs 265755,Rent Expense,Rent Expense
Legal advisor fees Rs 269421,Professional Fees,Professional Fees
RTGS charges Rs 438800,Bank Charges,Bank Charges
CA consultation fees Rs 221925,Professional Fees,Professional Fees
Business travel expense Rs 416484,Travel Expense,Travel Expense
Product sale Rs 457520,Sales Revenue,Sales Revenue
Business insurance payment Rs 424328,Insurance Expense,Insurance Expense
Loan repayment Rs 95056,Loan Liability,Loan Liability
Interest on loan Rs 362500,Loan Liability,Loan Liability
Building lease payment Rs 271010,Rent Expense,Rent Expense
Hotel accommodation Rs 43895,Travel Expense,Travel Expense
GST deposited Rs 458260,GST Payable,GST Payable
Business travel expense Rs 25239,Travel Expense,Travel Expense
Vehicle insurance premium Rs 453955,Insurance Expense,Insurance Expense
Google Ads payment Rs 448714,Marketing Expense,Marketing Expense
Water bill payment Rs 127262,Utilities Expense,Utilities Expense
Internet bill Rs 118819,Utilities Expense,Utilities Expense
Software license renewal Rs 398485,Software Expense,Software Expense
Insurance expense Rs 447515,Insurance Expense,Insurance Expense
Processing fee charged by bank Rs 394832,Bank Charges,Bank Charges
Promotional expense Rs 101157,Marketing Expense,Marketing Expense
Business travel expense Rs 488287,Travel Expense,Travel Expense
Bank service charges Rs 27029,Bank Charges,Bank Charges
Wages paid to workers Rs 349140,Salary Expense,Salary Expense
Wages paid to workers Rs 341642,Salary Expense,Salary Expense
Loan EMI payment Rs 484898,Loan Liability,Loan Liability
Water bill payment Rs 448037,Utilities Expense,Utilities Expense
Bank interest income Rs 107991,Interest Income,Interest Income
Interest on loan Rs 257003,Loan Liability,Loan Liability
CA consultation fees Rs 467149,Professional Fees,Professional Fees
Interest credited Rs 468388,Interest Income,Interest Income
GST deposited Rs 279704,GST Payable,GST Payable
Loan repayment Rs 119306,Loan Liability,Loan Liability
Telephone expense Rs 17002,Utilities Expense,Utilities Expense
GST payment challan Rs 109822,GST Payable,GST Payable
Revenue from client Rs 135808,Sales Revenue,Sales Revenue
Sales receipt Rs 237267,Sales Revenue,Sales Revenue
GST deposited Rs 13036,GST Payable,GST Payable
Loan EMI payment Rs 230247,Loan Liability,Loan Liability
Goods purchased Rs 291245,Purchase Expense,Purchase Expense
Raw material purchase Rs 104078,Purchase Expense,Purchase Expense
Warehouse rent Rs 407042,Rent Expense,Rent Expense
Cloud hosting payment Rs 395475,Software Expense,Software Expense
Electricity bill payment Rs 96872,Utilities Expense,Utilities Expense
Processing fee charged by bank Rs 333342,Bank Charges,Bank Charges
Savings account interest Rs 200111,Interest Income,Interest Income
Professional consultancy fees Rs 188544,Professional Fees,Professional Fees
Google Ads payment Rs 450047,Marketing Expense,Marketing Expense
Sales receipt Rs 308869,Sales Revenue,Sales Revenue
