Invoice_Text,Actual,Predicted
GTA transport service Rs 278713,Reverse Charge,Reverse Charge
GST deposited through bank Rs 97232,GST Payment,GST Payment
Credit adjustment invoice Rs 87646,Credit Note,Credit Note
Export of garments to USA Rs 359469,Export,Export
Debit note raised for additional tax Rs 144709,Debit Note,Debit Note
Mobile phone sale bill Rs 218820,B2C,B2C
Export GST refund Rs 273386,GST Refund,GST Refund
Supply of goods to Tata Steel Rs 236399,B2B,B2B
Debit note for transport expenses Rs 263224,Debit Note,Debit Note
Debit note against shortage Rs 170252,Debit Note,Debit Note
School tuition fees Rs 327556,Exempt Supply,Exempt Supply
Retail customer purchase bill Rs 59055,B2C,B2C
GST invoice raised on TCS Rs 39660,B2B,B2B
Sales return credit note Rs 472760,Credit Note,Credit Note
Hardware purchase from Canada Rs 226963,Import,Import
Corporate software license for XYZ Industries Rs 265484,B2B,B2B
Export software service to China Rs 355107,Export,Export
Invoice to TCS Rs 170849,B2B,B2B
Sales return credit note Rs 122073,Credit Note,Credit Note
GST payment challan Rs 474175,GST Payment,GST Payment
GST liability payment Rs 365744,GST Payment,GST Payment
GST liability payment Rs 12937,GST Payment,GST Payment
Hardware purchase from Singapore Rs 33666,Import,Import
GTA transport service Rs 435837,Reverse Charge,Reverse Charge
IT support service to South Korea Rs 465307,Export,Export
Export software service to China Rs 298758,Export,Export
Industrial equipment imported from Canada Rs 254782,Import,Import
Industrial equipment imported from South Korea Rs 470770,Import,Import
Export software service to UK Rs 417426,Export,Export
Corporate software license for Reliance Rs 167237,B2B,B2B
Legal service under reverse charge Rs 281159,Reverse Charge,Reverse Charge
Monthly GST tax payment Rs 256357,GST Payment,GST Payment
Healthcare exempt supply Rs 214307,Exempt Supply,Exempt Supply
Hospital treatment charges Rs 426868,Exempt Supply,Exempt Supply
Export GST refund Rs 302958,GST Refund,GST Refund
Debit note raised for additional tax Rs 5231,Debit Note,Debit Note
Consumer electronics invoice Rs 74882,B2C,B2C
Retail customer purchase bill Rs 195355,B2C,B2C
Retail customer purchase bill Rs 386465,B2C,B2C
GST payment for current month Rs 257523,GST Payment,GST Payment
Industrial equipment imported from South Korea Rs 140341,Import,Import
Debit note against shortage Rs 124867,Debit Note,Debit Note
Refund received under GST Rs 273904,GST Refund,GST Refund
Import electronics from France Rs 123773,Import,Import
Advocate service payment Rs 395273,Reverse Charge,Reverse Charge
Director remuneration Rs 406899,Reverse Charge,Reverse Charge
GST liability payment Rs 348498,GST Payment,GST Payment
GST refund received Rs 33968,GST Refund,GST Refund
Corporate software license for Amazon Rs 447729,B2B,B2B
Export of garments to Singapore Rs 459172,Export,Export
GST payment challan Rs 14479,GST Payment,GST Payment
Healthcare exempt supply Rs 121919,Exempt Supply,Exempt Supply
Healthcare exempt supply Rs 456302,Exempt Supply,Exempt Supply
Import electronics from Germany Rs 443636,Import,Import
Supply of goods to Deloitte Rs 394493,B2B,B2B
Hardware purchase from Canada Rs 284145,Import,Import
Credit note issued against damaged goods Rs 65299,Credit Note,Credit Note
School tuition fees Rs 261978,Exempt Supply,Exempt Supply
Legal service under reverse charge Rs 132255,Reverse Charge,Reverse Charge
GST deposited through bank Rs 437823,GST Payment,GST Payment
GST payment challan Rs 383078,GST Payment,GST Payment
Credit note for cancelled order Rs 325325,Credit Note,Credit Note
Industrial equipment imported from Australia Rs 252896,Import,Import
Export of garments to Singapore Rs 120087,Export,Export
Raw material imported from Canada Rs 464542,Import,Import
Debit note for freight charges Rs 87155,Debit Note,Debit Note
Import machinery from UK Rs 434781,Import,Import
GST liability payment Rs 408839,GST Payment,GST Payment
Invoice to Infosys Rs 61701,B2B,B2B
Import electronics from France Rs 294287,Import,Import
IT support service to Japan Rs 403797,Export,Export
