Transaction_Text,Amount,Category,Ledger,Journal_Entry,Financial_Statement
Bank commission charged,191008,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Employee salary transfer,117812,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
CA fees paid,190826,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Monthly payroll payment,254201,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Telephone bill paid,197033,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Bank service fee charged,176071,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST deposited,173404,GST,GST Payable,GST Payable Dr | To Bank,Liability
Business travel expense,382798,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Promotional expense paid,213504,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Flight ticket booked,44737,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Water bill paid,263512,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Facebook advertisement expense,435956,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
GST liability paid,493688,GST,GST Payable,GST Payable Dr | To Bank,Liability
Taxi fare paid,396407,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Electricity bill paid,253270,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Office rent paid,455213,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST liability paid,173025,GST,GST Payable,GST Payable Dr | To Bank,Liability
Loan EMI paid,70591,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Professional charges paid,387479,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Hotel expense paid,468460,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Office rent paid,280366,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Telephone bill paid,442914,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Water bill paid,369282,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Advertising charges paid,176665,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Printer purchased,338941,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Processing charges deducted,128269,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Flight ticket booked,201520,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Advertising charges paid,116266,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Facebook advertisement expense,297624,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Consultancy fees paid,340541,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Office furniture purchased,296269,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Office furniture purchased,297773,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Transaction charges deducted,229482,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank charges deducted,416768,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Promotional expense paid,454481,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Audit fees paid,19462,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Monthly rent transferred,27243,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Computer equipment purchased,133530,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Marketing campaign expense,94914,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Vehicle purchased,256623,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Vehicle purchased,318139,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Staff salary paid,498654,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Bank service fee charged,218303,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Payroll expense booked,327076,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Insurance renewal paid,449894,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Insurance premium paid,110659,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Computer equipment purchased,413104,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Building rent payment,486981,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Sales collection received,336221,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Advertising charges paid,131864,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Consultancy fees paid,72680,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Computer equipment purchased,99781,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST tax deposited,367903,GST,GST Payable,GST Payable Dr | To Bank,Liability
Sales income received,384209,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Printer purchased,477932,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Insurance renewal paid,298409,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
