Transaction_Text,Ledger
TDS payment Rs 359248,TDS Payable
Cheque book charges Rs 422454,Bank Charges
Cheque book charges Rs 443340,Bank Charges
Building lease payment Rs 490780,Rent Expense
Insurance renewal Rs 309592,Insurance Expense
Vehicle insurance premium Rs 281377,Insurance Expense
Train ticket Rs 274837,Travel Expense
Cheque book charges Rs 200612,Bank Charges
Insurance renewal Rs 112296,Insurance Expense
FD interest received Rs 222701,Interest Income
Water bill payment Rs 298613,Utilities Expense
Bank interest income Rs 312865,Interest Income
Business loan payment Rs 227666,Loan Liability
Marketing campaign expense Rs 199783,Marketing Expense
Raw material purchase Rs 345894,Purchase Expense
Bank loan installment Rs 38550,Loan Liability
CA consultation fees Rs 22242,Professional Fees
Google Workspace subscription Rs 325772,Software Expense
TDS government payment Rs 196502,TDS Payable
Loan EMI payment Rs 325609,Loan Liability
Internet bill Rs 337565,Utilities Expense
Tax filing charges Rs 312917,Professional Fees
Raw material purchase Rs 54327,Purchase Expense
Inventory purchase Rs 270476,Purchase Expense
Advertisement charges Rs 57469,Marketing Expense
Hotel accommodation Rs 52637,Travel Expense
Audit fees Rs 285403,Professional Fees
Telephone expense Rs 310178,Utilities Expense
Advertisement charges Rs 227524,Marketing Expense
Water bill payment Rs 103343,Utilities Expense
Office supplies purchase Rs 5559,Purchase Expense
TDS deposited Rs 455651,TDS Payable
GST deposited Rs 75360,GST Payable
TDS government payment Rs 34828,TDS Payable
Service income received Rs 235855,Sales Revenue
Legal advisor fees Rs 125259,Professional Fees
Marketing campaign expense Rs 491126,Marketing Expense
Insurance expense Rs 318520,Insurance Expense
GST liability payment Rs 499128,GST Payable
Business insurance payment Rs 294533,Insurance Expense
Security guard salary Rs 159118,Salary Expense
Advertisement charges Rs 457080,Marketing Expense
Product sale Rs 123832,Sales Revenue
Salary paid to employee Rs 410316,Salary Expense
Marketing campaign expense Rs 477994,Marketing Expense
Software license renewal Rs 238539,Software Expense
Bank interest income Rs 475479,Interest Income
Investment interest Rs 380067,Interest Income
Water bill payment Rs 217115,Utilities Expense
Hotel accommodation Rs 169773,Travel Expense
FD interest received Rs 282786,Interest Income
Monthly staff salary Rs 450038,Salary Expense
Hotel accommodation Rs 235997,Travel Expense
Google Workspace subscription Rs 68789,Software Expense
Business travel expense Rs 50636,Travel Expense
Loan repayment Rs 352151,Loan Liability
Promotional expense Rs 211969,Marketing Expense
Tax filing charges Rs 470484,Professional Fees
Internet bill Rs 275838,Utilities Expense
Microsoft 365 subscription Rs 474245,Software Expense
Marketing campaign expense Rs 314132,Marketing Expense
Wages paid to workers Rs 348583,Salary Expense
Business loan payment Rs 69771,Loan Liability
Internet bill Rs 42143,Utilities Expense
Google Ads payment Rs 123880,Marketing Expense
Insurance renewal Rs 999,Insurance Expense
Vehicle insurance premium Rs 24846,Insurance Expense
Audit fees Rs 429752,Professional Fees
Professional consultancy fees Rs 482580,Professional Fees
Warehouse rent Rs 265881,Rent Expense
Investment interest Rs 458828,Interest Income
Health insurance premium Rs 205304,Insurance Expense
Insurance expense Rs 43275,Insurance Expense
Bank service charges Rs 262067,Bank Charges
Inventory purchase Rs 41836,Purchase Expense
TDS payment Rs 473168,TDS Payable
Business loan payment Rs 468038,Loan Liability
Bank loan installment Rs 178562,Loan Liability
Warehouse rent Rs 254883,Rent Expense
GST payment challan Rs 439159,GST Payable
NEFT charges Rs 302123,Bank Charges
Business travel expense Rs 405993,Travel Expense
Uber ride Rs 305177,Travel Expense
Hotel accommodation Rs 43895,Travel Expense
Office supplies purchase Rs 368306,Purchase Expense
Vehicle insurance premium Rs 182504,Insurance Expense
Security guard salary Rs 183879,Salary Expense
Loan EMI payment Rs 239037,Loan Liability
Building lease payment Rs 265564,Rent Expense
TDS payment Rs 265646,TDS Payable
AWS hosting charges Rs 216821,Software Expense
Uber ride Rs 352348,Travel Expense
FD interest received Rs 452350,Interest Income
Health insurance premium Rs 59061,Insurance Expense
Bank loan installment Rs 405436,Loan Liability
Building lease payment Rs 64396,Rent Expense
Internet bill Rs 499142,Utilities Expense
Google Ads payment Rs 427459,Marketing Expense
Warehouse rent Rs 86234,Rent Expense
Bank interest income Rs 301983,Interest Income
Cloud hosting payment Rs 339271,Software Expense
Security guard salary Rs 18743,Salary Expense
Office supplies purchase Rs 425176,Purchase Expense
GST tax paid Rs 9897,GST Payable
GST payment challan Rs 96092,GST Payable
Warehouse rent Rs 83966,Rent Expense
TDS payment Rs 35515,TDS Payable
Cheque book charges Rs 125057,Bank Charges
Professional consultancy fees Rs 240493,Professional Fees
Customer invoice generated Rs 390804,Sales Revenue
Advertisement charges Rs 27190,Marketing Expense
Payroll payment Rs 292284,Salary Expense
Cloud hosting payment Rs 197328,Software Expense
FD interest received Rs 45709,Interest Income
Facebook advertisement Rs 351463,Marketing Expense
Utility charges Rs 380898,Utilities Expense
Internet bill Rs 376216,Utilities Expense
Sales receipt Rs 308869,Sales Revenue
Hotel accommodation Rs 376647,Travel Expense
AWS hosting charges Rs 32841,Software Expense
Marketing campaign expense Rs 278030,Marketing Expense
Product sale Rs 177638,Sales Revenue
Office supplies purchase Rs 476263,Purchase Expense
Flight ticket Rs 371920,Travel Expense
GST payment challan Rs 291692,GST Payable
Insurance renewal Rs 33921,Insurance Expense
Interest credited Rs 468388,Interest Income
Savings account interest Rs 326856,Interest Income
TDS payment Rs 31985,TDS Payable
Warehouse rent Rs 25680,Rent Expense
Bank service charges Rs 341260,Bank Charges
Tax filing charges Rs 186723,Professional Fees
Professional consultancy fees Rs 98448,Professional Fees
Advertisement charges Rs 375661,Marketing Expense
Goods purchased Rs 296484,Purchase Expense
Wages paid to workers Rs 239463,Salary Expense
Loan repayment Rs 324508,Loan Liability
Bank interest income Rs 205765,Interest Income
Revenue from client Rs 134728,Sales Revenue
Revenue from client Rs 281335,Sales Revenue
Google Workspace subscription Rs 496309,Software Expense
Business insurance payment Rs 471567,Insurance Expense
Business loan payment Rs 48472,Loan Liability
Building lease payment Rs 217621,Rent Expense
Marketing campaign expense Rs 93318,Marketing Expense
Train ticket Rs 112144,Travel Expense
GST monthly payment Rs 75321,GST Payable
Uber ride Rs 481312,Travel Expense
TDS deposited Rs 364244,TDS Payable
Business travel expense Rs 74955,Travel Expense
Electricity bill payment Rs 308705,Utilities Expense
Payroll payment Rs 237431,Salary Expense
Monthly staff salary Rs 393069,Salary Expense
NEFT charges Rs 426023,Bank Charges
CA consultation fees Rs 477837,Professional Fees
Investment interest Rs 17885,Interest Income
Cheque book charges Rs 398318,Bank Charges
Employee bonus payment Rs 158253,Salary Expense
Marketing campaign expense Rs 314185,Marketing Expense
Legal advisor fees Rs 191003,Professional Fees
Building lease payment Rs 39001,Rent Expense
Revenue from client Rs 155042,Sales Revenue
Water bill payment Rs 130900,Utilities Expense
Product sale Rs 457520,Sales Revenue
Google Workspace subscription Rs 63145,Software Expense
Water bill payment Rs 99265,Utilities Expense
Office rent payment Rs 107944,Rent Expense
CA consultation fees Rs 160230,Professional Fees
NEFT charges Rs 384353,Bank Charges
Business travel expense Rs 121302,Travel Expense
Google Ads payment Rs 215240,Marketing Expense
Bank loan installment Rs 220407,Loan Liability
Bank interest income Rs 473819,Interest Income
Business loan payment Rs 337470,Loan Liability
GST liability payment Rs 366645,GST Payable
Internet bill Rs 364074,Utilities Expense
Security guard salary Rs 219652,Salary Expense
Shop rent paid Rs 299971,Rent Expense
Goods purchased Rs 296251,Purchase Expense
Facebook advertisement Rs 376657,Marketing Expense
Vehicle insurance premium Rs 317782,Insurance Expense
Raw material purchase Rs 345593,Purchase Expense
Salary paid to employee Rs 347412,Salary Expense
Utility charges Rs 267490,Utilities Expense
Bank interest income Rs 146740,Interest Income
Raw material purchase Rs 365361,Purchase Expense
Raw material purchase Rs 283138,Purchase Expense
