Book_Description,Bank_Description,Amount,Match_Status
Staff Welfare,Loan EMI,86637,Not Matched
Laptop Purchase,Computer Purchase,61403,Matched
GST Payment,Unknown Transaction,84389,Not Matched
Bank Charges,Bank Service Charges,85845,Matched
Advertising Expense,UPI Payment,38713,Not Matched
Advertising Expense,Personal Transfer,26274,Not Matched
Salary Paid,Salary Transfer,32002,Matched
Staff Welfare,Unknown Transaction,53837,Not Matched
Internet Expense,Internet Bill Payment,30629,Matched
Stationery Purchase,UPI Payment,72962,Not Matched
Electricity Bill,Electricity Payment,19515,Matched
Salary Paid,ATM Withdrawal,52970,Not Matched
Stationery Purchase,ATM Withdrawal,46038,Not Matched
Bank Charges,Bank Service Charges,72277,Matched
Customer Receipt,Customer Payment,50619,Matched
Salary Paid,Salary Transfer,61714,Matched
Electricity Bill,Electricity Payment,32615,Matched
Internet Expense,Internet Bill Payment,2919,Matched
Fuel Expense,Cheque Bounce Charge,64604,Not Matched
GST Payment,UPI Payment,55177,Not Matched
Salary Paid,Salary Transfer,92521,Matched
Office Rent,Interest Debit,37467,Not Matched
Advertising Expense,ATM Withdrawal,34558,Not Matched
GST Payment,Interest Debit,37161,Not Matched
GST Payment,Cheque Bounce Charge,11084,Not Matched
Bank Charges,Bank Service Charges,34888,Matched
Consultancy Fees,Personal Transfer,60272,Not Matched
Electricity Bill,Electricity Payment,61259,Matched
Insurance Premium,Insurance Payment,97357,Matched
Customer Receipt,Customer Payment,76513,Matched
Insurance Premium,Insurance Payment,97009,Matched
Office Rent,Rent Payment,10790,Matched
Salary Paid,Salary Transfer,38933,Matched
Electricity Bill,Electricity Payment,51252,Matched
Consultancy Fees,Interest Debit,31564,Not Matched
Insurance Premium,Insurance Payment,47337,Matched
Salary Paid,ATM Withdrawal,23814,Not Matched
Office Rent,ATM Withdrawal,94600,Not Matched
Advertising Expense,ATM Withdrawal,21843,Not Matched
Internet Expense,Internet Bill Payment,39085,Matched
Software Subscription,Software Payment,37177,Matched
Fuel Expense,UPI Payment,41276,Not Matched
Laptop Purchase,Computer Purchase,43518,Matched
Customer Receipt,Customer Payment,53790,Matched
Staff Welfare,Unknown Transaction,17115,Not Matched
Software Subscription,Software Payment,73024,Matched
Software Subscription,Software Payment,77564,Matched
Insurance Premium,Insurance Payment,59570,Matched
Software Subscription,Software Payment,47776,Matched
Fuel Expense,Personal Transfer,66233,Not Matched
Travel Expense,Investment Transfer,25088,Not Matched
Software Subscription,Software Payment,88658,Matched
Staff Welfare,Personal Transfer,23128,Not Matched
Software Subscription,Software Payment,73988,Matched
Office Rent,Rent Payment,5728,Matched
Laptop Purchase,Unknown Transaction,54374,Not Matched
Stationery Purchase,ATM Withdrawal,39327,Not Matched
Fuel Expense,Cheque Bounce Charge,12140,Not Matched
Laptop Purchase,Credit Card Payment,65872,Not Matched
Internet Expense,Internet Bill Payment,82031,Matched
Staff Welfare,Investment Transfer,94246,Not Matched
Laptop Purchase,Computer Purchase,49117,Matched
Staff Welfare,UPI Payment,21844,Not Matched
Advertising Expense,Cash Withdrawal,92634,Not Matched
Consultancy Fees,Interest Debit,47000,Not Matched
Travel Expense,Unknown Transaction,35236,Not Matched
Laptop Purchase,Computer Purchase,64264,Matched
Salary Paid,UPI Payment,97827,Not Matched
Insurance Premium,Insurance Payment,45849,Matched
Stationery Purchase,Personal Transfer,27292,Not Matched
Salary Paid,Loan EMI,96281,Not Matched
Software Subscription,Software Payment,80385,Matched
Fuel Expense,Investment Transfer,40876,Not Matched
Consultancy Fees,Credit Card Payment,36099,Not Matched
Bank Charges,Bank Service Charges,58043,Matched
Office Rent,Rent Payment,74466,Matched
Fuel Expense,Cash Withdrawal,17038,Not Matched
Insurance Premium,Insurance Payment,16458,Matched
Software Subscription,Software Payment,80998,Matched
